Raw Weather Data for La Canada Flintridge, CA
	Average Visibility
Date	(miles)	Station Used
1961-10-01	4.0	VAN NUYS AIRPORT
1961-10-02	4.9	VAN NUYS AIRPORT
1961-10-03	9.7	VAN NUYS AIRPORT
1961-10-04	11.4	VAN NUYS AIRPORT
1961-10-05	6.5	VAN NUYS AIRPORT
1961-10-06	2.5	VAN NUYS AIRPORT
1961-10-07	3.6	VAN NUYS AIRPORT
1961-10-08	9.2	VAN NUYS AIRPORT
1961-10-09	12.2	VAN NUYS AIRPORT
1961-10-10	11.5	VAN NUYS AIRPORT
1961-10-11	12.7	VAN NUYS AIRPORT
1961-10-12	7.3	VAN NUYS AIRPORT
1961-10-13	9.6	VAN NUYS AIRPORT
1961-10-14	18.8	VAN NUYS AIRPORT
1961-10-15	16.2	VAN NUYS AIRPORT
1961-10-16	14.3	VAN NUYS AIRPORT
1961-10-17	10.9	VAN NUYS AIRPORT
1961-10-18	1.3	VAN NUYS AIRPORT
1961-10-19	2.5	VAN NUYS AIRPORT
1961-10-20	4.0	VAN NUYS AIRPORT
1961-10-21	7.4	VAN NUYS AIRPORT
1961-10-22	10.4	VAN NUYS AIRPORT
1961-10-23	11.0	VAN NUYS AIRPORT
1961-10-24	9.9	VAN NUYS AIRPORT
1961-10-25	5.3	VAN NUYS AIRPORT
1961-10-26	4.3	VAN NUYS AIRPORT
1961-10-27	7.2	VAN NUYS AIRPORT
1961-10-28	10.0	VAN NUYS AIRPORT
1961-10-29	11.8	VAN NUYS AIRPORT
1961-10-30	21.5	VAN NUYS AIRPORT
1961-10-31	17.0	VAN NUYS AIRPORT
1961-11-01	12.1	VAN NUYS AIRPORT
1961-11-02	11.4	VAN NUYS AIRPORT
1961-11-03	11.8	VAN NUYS AIRPORT
1961-11-04	8.7	VAN NUYS AIRPORT
1961-11-05	14.7	VAN NUYS AIRPORT
1961-11-06	14.5	VAN NUYS AIRPORT
1961-11-07	11.9	VAN NUYS AIRPORT
1961-11-08	13.4	VAN NUYS AIRPORT
1961-11-09	13.3	VAN NUYS AIRPORT
1961-11-10	3.5	VAN NUYS AIRPORT
1961-11-11	2.9	VAN NUYS AIRPORT
1961-11-12	11.1	VAN NUYS AIRPORT
1961-11-13	14.9	VAN NUYS AIRPORT
1961-11-14	14.9	VAN NUYS AIRPORT
1961-11-15	13.3	VAN NUYS AIRPORT
1961-11-16	10.6	VAN NUYS AIRPORT
1961-11-17	14.7	VAN NUYS AIRPORT
1961-11-18	13.0	VAN NUYS AIRPORT
1961-11-19	11.8	VAN NUYS AIRPORT
1961-11-20	6.0	VAN NUYS AIRPORT
1961-11-21	14.5	VAN NUYS AIRPORT
1961-11-22	14.9	VAN NUYS AIRPORT
1961-11-23	9.0	VAN NUYS AIRPORT
1961-11-24	3.1	VAN NUYS AIRPORT
1961-11-25	5.1	VAN NUYS AIRPORT
1961-11-26	10.6	VAN NUYS AIRPORT
1961-11-27	14.8	VAN NUYS AIRPORT
1961-11-28	14.9	VAN NUYS AIRPORT
1961-11-29	4.3	VAN NUYS AIRPORT
1961-11-30	4.2	VAN NUYS AIRPORT
1961-12-01	4.8	VAN NUYS AIRPORT
1961-12-02	7.5	VAN NUYS AIRPORT
1961-12-03	6.3	VAN NUYS AIRPORT
