Raw Weather Data for La Canada Flintridge, CA
	Maximum Wind Gust
Date	(knots)	Station Used
1973-01-01	40.0	BURBANK-GLENDALE-PAS
1973-01-04	20.0	BURBANK-GLENDALE-PAS
1973-01-05	20.0	BURBANK-GLENDALE-PAS
1973-01-14	15.0	BURBANK-GLENDALE-PAS
1973-01-18	28.0	BURBANK-GLENDALE-PAS
1973-01-19	29.0	BURBANK-GLENDALE-PAS
1973-01-20	28.0	BURBANK-GLENDALE-PAS
1973-01-22	19.0	BURBANK-GLENDALE-PAS
1973-01-26	23.0	BURBANK-GLENDALE-PAS
1973-02-03	24.0	BURBANK-GLENDALE-PAS
1973-02-11	29.0	BURBANK-GLENDALE-PAS
1973-03-14	22.0	BURBANK-GLENDALE-PAS
1973-03-29	24.0	BURBANK-GLENDALE-PAS
1973-04-01	39.0	BURBANK-GLENDALE-PAS
1973-04-03	24.0	BURBANK-GLENDALE-PAS
1973-04-04	29.0	BURBANK-GLENDALE-PAS
1973-04-05	24.0	BURBANK-GLENDALE-PAS
1973-04-18	24.0	BURBANK-GLENDALE-PAS
1973-04-20	29.0	BURBANK-GLENDALE-PAS
1973-04-21	19.0	BURBANK-GLENDALE-PAS
1973-04-22	29.0	BURBANK-GLENDALE-PAS
1973-11-19	29.0	BURBANK-GLENDALE-PAS
1973-11-23	24.0	BURBANK-GLENDALE-PAS
1973-12-01	26.0	BURBANK-GLENDALE-PAS
1973-12-02	24.0	BURBANK-GLENDALE-PAS
1973-12-24	24.0	BURBANK-GLENDALE-PAS
1973-12-29	24.0	BURBANK-GLENDALE-PAS
1973-12-30	19.0	BURBANK-GLENDALE-PAS
1974-01-04	24.0	BURBANK-GLENDALE-PAS
1974-01-07	19.0	BURBANK-GLENDALE-PAS
1974-01-22	19.0	BURBANK-GLENDALE-PAS
1974-01-23	24.0	BURBANK-GLENDALE-PAS
1974-02-06	44.0	BURBANK-GLENDALE-PAS
1974-02-18	22.0	BURBANK-GLENDALE-PAS
1974-02-20	29.0	BURBANK-GLENDALE-PAS
1974-02-23	15.0	BURBANK-GLENDALE-PAS
1974-02-24	12.0	BURBANK-GLENDALE-PAS
1974-04-03	24.0	BURBANK-GLENDALE-PAS
1974-04-06	19.0	BURBANK-GLENDALE-PAS
1974-04-09	24.0	BURBANK-GLENDALE-PAS
1974-04-10	24.0	BURBANK-GLENDALE-PAS
1974-04-11	19.0	BURBANK-GLENDALE-PAS
1974-04-29	19.0	BURBANK-GLENDALE-PAS
1974-11-10	15.0	BURBANK-GLENDALE-PAS
1974-11-22	24.0	BURBANK-GLENDALE-PAS
1974-12-08	29.0	BURBANK-GLENDALE-PAS
1974-12-09	24.0	BURBANK-GLENDALE-PAS
1974-12-13	19.0	BURBANK-GLENDALE-PAS
1974-12-14	22.0	BURBANK-GLENDALE-PAS
1974-12-23	31.0	BURBANK-GLENDALE-PAS
1974-12-24	24.0	BURBANK-GLENDALE-PAS
1974-12-31	35.0	BURBANK-GLENDALE-PAS
1975-01-01	35.0	BURBANK-GLENDALE-PAS
1975-01-09	24.0	BURBANK-GLENDALE-PAS
1975-01-10	24.0	BURBANK-GLENDALE-PAS
1975-02-17	29.0	BURBANK-GLENDALE-PAS
1975-03-05	29.0	BURBANK-GLENDALE-PAS
1975-03-06	22.0	BURBANK-GLENDALE-PAS
1975-03-23	35.0	BURBANK-GLENDALE-PAS
1975-03-26	39.0	BURBANK-GLENDALE-PAS
1975-03-28	35.0	BURBANK-GLENDALE-PAS
1975-03-29	24.0	BURBANK-GLENDALE-PAS
1975-04-09	19.0	BURBANK-GLENDALE-PAS
1975-04-26	24.0	BURBANK-GLENDALE-PAS
1975-04-27	22.0	BURBANK-GLENDALE-PAS
1975-09-07	22.0	BURBANK-GLENDALE-PAS
1975-10-23	24.0	BURBANK-GLENDALE-PAS
1975-11-09	22.0	BURBANK-GLENDALE-PAS
1975-11-24	19.0	BURBANK-GLENDALE-PAS
1975-11-29	24.0	BURBANK-GLENDALE-PAS
1975-12-14	19.0	BURBANK-GLENDALE-PAS
1975-12-27	19.0	BURBANK-GLENDALE-PAS
1975-12-28	25.0	BURBANK-GLENDALE-PAS
1975-12-31	24.0	BURBANK-GLENDALE-PAS
1976-02-09	28.0	BURBANK-GLENDALE-PAS
1976-03-19	24.0	BURBANK-GLENDALE-PAS
1976-03-20	24.0	BURBANK-GLENDALE-PAS
1976-03-25	22.0	BURBANK-GLENDALE-PAS
1976-03-26	19.0	BURBANK-GLENDALE-PAS
1976-03-28	24.0	BURBANK-GLENDALE-PAS
1976-04-15	15.0	BURBANK-GLENDALE-PAS
1976-04-16	22.0	BURBANK-GLENDALE-PAS
1976-04-17	15.0	BURBANK-GLENDALE-PAS
1976-04-25	15.0	BURBANK-GLENDALE-PAS
1976-04-26	24.0	BURBANK-GLENDALE-PAS
1976-10-12	28.0	BURBANK-GLENDALE-PAS
