Raw Weather Data for La Canada Flintridge, CA
	Maximum Daily Temperature
Date	(degrees)	Station Used
1961-10-01	84.4	VAN NUYS AIRPORT
1961-10-02	99.3	VAN NUYS AIRPORT
1961-10-03	99.3	VAN NUYS AIRPORT
1961-10-04	96.1	VAN NUYS AIRPORT
1961-10-05	90.0	VAN NUYS AIRPORT
1961-10-06	81.0	VAN NUYS AIRPORT
1961-10-07	75.9	VAN NUYS AIRPORT
1961-10-08	71.4	VAN NUYS AIRPORT
1961-10-09	70.0	VAN NUYS AIRPORT
1961-10-10	77.4	VAN NUYS AIRPORT
1961-10-11	82.4	VAN NUYS AIRPORT
1961-10-12	86.4	VAN NUYS AIRPORT
1961-10-13	96.4	VAN NUYS AIRPORT
1961-10-14	99.3	VAN NUYS AIRPORT
1961-10-15	99.3	VAN NUYS AIRPORT
1961-10-16	98.4	VAN NUYS AIRPORT
1961-10-17	90.0	VAN NUYS AIRPORT
1961-10-18	84.0	VAN NUYS AIRPORT
1961-10-19	79.3	VAN NUYS AIRPORT
1961-10-20	75.0	VAN NUYS AIRPORT
1961-10-21	66.0	VAN NUYS AIRPORT
1961-10-22	75.4	VAN NUYS AIRPORT
1961-10-23	75.4	VAN NUYS AIRPORT
1961-10-24	79.3	VAN NUYS AIRPORT
1961-10-25	83.3	VAN NUYS AIRPORT
1961-10-26	79.0	VAN NUYS AIRPORT
1961-10-27	73.4	VAN NUYS AIRPORT
1961-10-28	70.0	VAN NUYS AIRPORT
1961-10-29	68.4	VAN NUYS AIRPORT
1961-10-30	65.3	VAN NUYS AIRPORT
1961-10-31	65.3	VAN NUYS AIRPORT
1961-11-01	63.0	VAN NUYS AIRPORT
1961-11-02	69.4	VAN NUYS AIRPORT
1961-11-03	75.4	VAN NUYS AIRPORT
1961-11-04	82.4	VAN NUYS AIRPORT
1961-11-05	82.0	VAN NUYS AIRPORT
1961-11-06	80.4	VAN NUYS AIRPORT
1961-11-07	83.3	VAN NUYS AIRPORT
1961-11-08	84.4	VAN NUYS AIRPORT
1961-11-09	79.3	VAN NUYS AIRPORT
1961-11-10	75.0	VAN NUYS AIRPORT
1961-11-11	68.0	VAN NUYS AIRPORT
1961-11-12	75.4	VAN NUYS AIRPORT
1961-11-13	73.0	VAN NUYS AIRPORT
1961-11-14	77.4	VAN NUYS AIRPORT
1961-11-15	72.0	VAN NUYS AIRPORT
1961-11-16	61.3	VAN NUYS AIRPORT
1961-11-17	66.4	VAN NUYS AIRPORT
1961-11-18	67.3	VAN NUYS AIRPORT
1961-11-19	64.0	VAN NUYS AIRPORT
1961-11-20	59.0	VAN NUYS AIRPORT
1961-11-21	57.0	VAN NUYS AIRPORT
1961-11-22	69.4	VAN NUYS AIRPORT
1961-11-23	68.4	VAN NUYS AIRPORT
1961-11-24	64.9	VAN NUYS AIRPORT
1961-11-25	57.9	VAN NUYS AIRPORT
1961-11-26	66.4	VAN NUYS AIRPORT
1961-11-27	68.4	VAN NUYS AIRPORT
1961-11-28	74.3	VAN NUYS AIRPORT
1961-11-29	72.0	VAN NUYS AIRPORT
1961-11-30	64.4	VAN NUYS AIRPORT
1961-12-01	62.4	VAN NUYS AIRPORT
1961-12-02	60.4	VAN NUYS AIRPORT
1961-12-03	62.4	VAN NUYS AIRPORT
1961-12-04	68.4	VAN NUYS AIRPORT
1961-12-05	74.3	VAN NUYS AIRPORT
1961-12-06	72.3	VAN NUYS AIRPORT
1961-12-07	68.4	VAN NUYS AIRPORT
1961-12-08	68.0	VAN NUYS AIRPORT
1961-12-09	60.4	VAN NUYS AIRPORT
1961-12-10	57.4	VAN NUYS AIRPORT
1961-12-11	56.3	VAN NUYS AIRPORT
1961-12-12	55.0	VAN NUYS AIRPORT
1961-12-13	58.3	VAN NUYS AIRPORT
1961-12-14	54.0	VAN NUYS AIRPORT
1961-12-15	58.3	VAN NUYS AIRPORT
1961-12-16	62.4	VAN NUYS AIRPORT
1961-12-17	59.4	VAN NUYS AIRPORT
1961-12-18	60.4	VAN NUYS AIRPORT
1961-12-19	64.4	VAN NUYS AIRPORT
1961-12-20	73.4	VAN NUYS AIRPORT
1961-12-21	71.1	VAN NUYS AIRPORT
1961-12-22	72.3	VAN NUYS AIRPORT
1961-12-23	76.3	VAN NUYS AIRPORT
1961-12-24	76.3	VAN NUYS AIRPORT
1961-12-25	73.9	VAN NUYS AIRPORT
1961-12-26	71.4	VAN NUYS AIRPORT
1961-12-27	74.3	VAN NUYS AIRPORT
1961-12-28	73.9	VAN NUYS AIRPORT
1961-12-29	76.3	VAN NUYS AIRPORT
1961-12-30	77.4	VAN NUYS AIRPORT
1961-12-31	75.9	VAN NUYS AIRPORT
1962-01-01	78.4	VAN NUYS AIRPORT
1962-01-02	74.3	VAN NUYS AIRPORT
1962-01-03	79.3	VAN NUYS AIRPORT
1962-01-04	73.4	VAN NUYS AIRPORT
1962-01-05	77.4	VAN NUYS AIRPORT
1962-01-06	80.4	VAN NUYS AIRPORT
1962-01-07	88.3	VAN NUYS AIRPORT
1962-01-08	87.1	VAN NUYS AIRPORT
1962-01-09	79.3	VAN NUYS AIRPORT
1962-01-10	78.1	VAN NUYS AIRPORT
1962-01-11	62.1	VAN NUYS AIRPORT
1962-01-12	57.0	VAN NUYS AIRPORT
1962-01-13	55.4	VAN NUYS AIRPORT
1962-01-14	58.3	VAN NUYS AIRPORT
1962-01-15	62.4	VAN NUYS AIRPORT
1962-01-16	64.4	VAN NUYS AIRPORT
1962-01-17	63.3	VAN NUYS AIRPORT
1962-01-18	64.4	VAN NUYS AIRPORT
1962-01-19	62.1	VAN NUYS AIRPORT
1962-01-20	55.4	VAN NUYS AIRPORT
1962-01-21	55.0	VAN NUYS AIRPORT
1962-01-22	46.4	VAN NUYS AIRPORT
1962-01-23	54.3	VAN NUYS AIRPORT
1962-01-24	60.4	VAN NUYS AIRPORT
1962-01-25	61.3	VAN NUYS AIRPORT
1962-01-26	71.4	VAN NUYS AIRPORT
1962-01-27	77.4	VAN NUYS AIRPORT
1962-01-28	76.3	VAN NUYS AIRPORT
1962-01-29	80.4	VAN NUYS AIRPORT
1962-01-30	80.4	VAN NUYS AIRPORT
1962-01-31	82.4	VAN NUYS AIRPORT
1962-02-01	81.3	VAN NUYS AIRPORT
1962-02-02	79.3	VAN NUYS AIRPORT
1962-02-03	77.0	VAN NUYS AIRPORT
1962-02-04	72.0	VAN NUYS AIRPORT
1962-02-05	69.4	VAN NUYS AIRPORT
1962-02-06	64.9	VAN NUYS AIRPORT
1962-02-07	57.9	VAN NUYS AIRPORT
1962-02-08	55.4	VAN NUYS AIRPORT
1962-02-09	58.3	VAN NUYS AIRPORT
1962-02-10	57.9	VAN NUYS AIRPORT
1962-02-11	56.3	VAN NUYS AIRPORT
1962-02-12	61.3	VAN NUYS AIRPORT
1962-02-13	64.4	VAN NUYS AIRPORT
1962-02-14	64.4	VAN NUYS AIRPORT
1962-02-15	61.0	VAN NUYS AIRPORT
1962-02-16	60.4	VAN NUYS AIRPORT
1962-02-17	64.4	VAN NUYS AIRPORT
1962-02-18	61.0	VAN NUYS AIRPORT
1962-02-19	57.0	VAN NUYS AIRPORT
1962-02-20	53.4	VAN NUYS AIRPORT
1962-02-21	60.4	VAN NUYS AIRPORT
1962-02-22	62.4	VAN NUYS AIRPORT
1962-02-23	58.3	VAN NUYS AIRPORT
1962-02-24	57.4	VAN NUYS AIRPORT
1962-02-25	54.3	VAN NUYS AIRPORT
1962-02-26	53.4	VAN NUYS AIRPORT
1962-02-27	52.3	VAN NUYS AIRPORT
1962-02-28	57.4	VAN NUYS AIRPORT
1962-03-01	60.4	VAN NUYS AIRPORT
1962-03-02	59.4	VAN NUYS AIRPORT
1962-03-03	64.4	VAN NUYS AIRPORT
1962-03-04	72.3	VAN NUYS AIRPORT
1962-03-05	71.1	VAN NUYS AIRPORT
1962-03-06	62.1	VAN NUYS AIRPORT
1962-03-07	62.4	VAN NUYS AIRPORT
1962-03-08	63.3	VAN NUYS AIRPORT
1962-03-09	60.1	VAN NUYS AIRPORT
1962-03-10	59.4	VAN NUYS AIRPORT
1962-03-11	60.4	VAN NUYS AIRPORT
1962-03-12	66.4	VAN NUYS AIRPORT
1962-03-13	64.9	VAN NUYS AIRPORT
1962-03-14	66.4	VAN NUYS AIRPORT
1962-03-15	65.3	VAN NUYS AIRPORT
1962-03-16	64.9	VAN NUYS AIRPORT
1962-03-17	61.3	VAN NUYS AIRPORT
1962-03-18	60.1	VAN NUYS AIRPORT
1962-03-19	62.4	VAN NUYS AIRPORT
1962-03-20	61.0	VAN NUYS AIRPORT
1962-03-21	67.3	VAN NUYS AIRPORT
1962-03-22	63.0	VAN NUYS AIRPORT
1962-03-23	62.4	VAN NUYS AIRPORT
1962-03-24	75.4	VAN NUYS AIRPORT
1962-03-25	85.3	VAN NUYS AIRPORT
1962-03-26	84.4	VAN NUYS AIRPORT
1962-03-27	82.0	VAN NUYS AIRPORT
1962-03-28	68.0	VAN NUYS AIRPORT
1962-03-29	59.4	VAN NUYS AIRPORT
1962-03-30	71.4	VAN NUYS AIRPORT
1962-03-31	84.4	VAN NUYS AIRPORT
1962-04-01	79.0	VAN NUYS AIRPORT
1962-04-02	72.0	VAN NUYS AIRPORT
1962-04-03	64.0	VAN NUYS AIRPORT
1962-04-04	69.4	VAN NUYS AIRPORT
1962-04-05	90.3	VAN NUYS AIRPORT
1962-04-06	93.4	VAN NUYS AIRPORT
1962-04-07	95.4	VAN NUYS AIRPORT
1962-04-08	89.1	VAN NUYS AIRPORT
1962-04-09	86.0	VAN NUYS AIRPORT
1962-04-10	76.3	VAN NUYS AIRPORT
1962-04-11	90.3	VAN NUYS AIRPORT
1962-04-12	95.4	VAN NUYS AIRPORT
1962-04-13	96.4	VAN NUYS AIRPORT
1962-04-14	90.0	VAN NUYS AIRPORT
1962-04-15	86.0	VAN NUYS AIRPORT
1962-04-16	84.4	VAN NUYS AIRPORT
1962-04-17	87.4	VAN NUYS AIRPORT
1962-04-18	87.1	VAN NUYS AIRPORT
1962-04-19	82.9	VAN NUYS AIRPORT
1962-04-20	71.4	VAN NUYS AIRPORT
1962-04-21	85.3	VAN NUYS AIRPORT
1962-04-22	93.4	VAN NUYS AIRPORT
1962-04-23	93.4	VAN NUYS AIRPORT
1962-04-24	91.0	VAN NUYS AIRPORT
1962-04-25	66.0	VAN NUYS AIRPORT
1962-04-26	72.3	VAN NUYS AIRPORT
1962-04-27	74.3	VAN NUYS AIRPORT
1962-04-28	68.0	VAN NUYS AIRPORT
1962-04-29	70.3	VAN NUYS AIRPORT
1962-04-30	83.3	VAN NUYS AIRPORT
1962-05-01	88.3	VAN NUYS AIRPORT
1962-05-02	93.4	VAN NUYS AIRPORT
1962-05-03	90.3	VAN NUYS AIRPORT
1962-05-04	89.1	VAN NUYS AIRPORT
1962-05-05	86.4	VAN NUYS AIRPORT
1962-05-06	85.3	VAN NUYS AIRPORT
1962-05-07	84.9	VAN NUYS AIRPORT
1962-05-08	77.4	VAN NUYS AIRPORT
1962-05-09	76.3	VAN NUYS AIRPORT
1962-05-10	75.9	VAN NUYS AIRPORT
1962-05-11	73.4	VAN NUYS AIRPORT
1962-05-12	66.9	VAN NUYS AIRPORT
1962-05-13	65.3	VAN NUYS AIRPORT
1962-05-14	64.9	VAN NUYS AIRPORT
1962-05-15	66.4	VAN NUYS AIRPORT
1962-05-16	64.0	VAN NUYS AIRPORT
1962-05-17	72.3	VAN NUYS AIRPORT
1962-05-18	78.4	VAN NUYS AIRPORT
1962-05-19	75.0	VAN NUYS AIRPORT
1962-05-20	72.0	VAN NUYS AIRPORT
1962-05-21	79.3	VAN NUYS AIRPORT
1962-05-22	88.3	VAN NUYS AIRPORT
1962-05-23	84.9	VAN NUYS AIRPORT
1962-05-24	69.4	VAN NUYS AIRPORT
1962-05-25	71.4	VAN NUYS AIRPORT
1962-05-26	68.0	VAN NUYS AIRPORT
1962-05-27	63.3	VAN NUYS AIRPORT
1962-05-28	71.4	VAN NUYS AIRPORT
1962-05-29	76.3	VAN NUYS AIRPORT
1962-05-30	75.0	VAN NUYS AIRPORT
1962-05-31	81.3	VAN NUYS AIRPORT
1962-06-01	87.4	VAN NUYS AIRPORT
1962-06-02	87.4	VAN NUYS AIRPORT
1962-06-03	79.0	VAN NUYS AIRPORT
1962-06-04	73.4	VAN NUYS AIRPORT
1962-06-05	74.3	VAN NUYS AIRPORT
